 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0212010018 EXAMES IMUNOHEMATOLOGICOS EM DOADOR DE SANGUE";331;19;2269;56825;59444
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";89;178;3090;13743;17100
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";120;185;3100;16368;19773
"0212010042 FENOTIPAGEM K, FYA, FYB, JKA, JKB EM GEL";-;10;913;26834;27757
"0212010050 SOROLOGIA DE DOADOR DE SANGUE";331;19;1900;58062;60312
"0212010069 TESTE DO ACIDO NUCLEICO (NAT) EM AMOSTRAS DE SANGUE DO DOADOR DE SANGUE.";-;-;-;56764;56764
"0212020013 DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS";100;105;526;9082;9813
"0212020021 DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS";8;12;167;2532;2719
"0212020030 IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO";-;-;3;29220;29223
"0212020048 PREPARO DE COMPONENTES ALIQUOTADOS";-;-;-;3473;3473
"0212020056 PREPARO DE COMPONENTES LAVADOS";-;-;-;224;224
"0212020064 PROCESSAMENTO DE SANGUE";327;18;778;59011;60134
"0213010020 ENSAIO IMUNOENZIMATICO -TESTE DE ELISA PARA IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)";-;-;-;109;109
"0213010054 EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA)";-;-;-;107;107
"0213010062 EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGAS1 (LEISHMANIOSE VISCERAL CANINA)";-;-;-;1074;1074
"0213010070 EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGASI (LEISHMANIOSE VISCERAL HUMANA)";-;-;-;18;18
"0213010119 HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE";-;-;-;1;1
"0213010135 HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B";-;-;-;49;49
"0213010143 HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C";-;-;-;89;89
"0213010160 HISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE A";-;-;-;110;110
"0213010186 IDENTIFICACAO DE VIRUS DA RAIVA POR RT-PCR";-;-;-;754;754
"0213010208 IDENTIFICACAO DO VIRUS DA HEPATITE B POR PCR (QUANTITATIVO)";-;-;5;463;468
"0213010216 IMUNOCROMATOGRAFIA PARA IDENTIFICACAO DE PLASMODIOS (MALARIA)";-;-;-;7;7
"0213010224 IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA";-;-;280;80;360
"0213010232 IMUNOFLUORESCENCIA DIRETA PARA IDENTIFICACAO DO VIRUS DA RAIVA";-;-;-;711;711
"0213010240 IMUNOFLUORESCENCIA INDIRETA P/ (IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)";-;-;-;3;3
"0213010259 IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)";-;-;-;113;113
"0213010267 IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)";-;-;-;4;4
"0213010356 IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE B";-;-;-;6;6
"0213010372 ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)";-;-;-;18;18
"0213010380 ISOLAMENTO DO VIRUS DA DENGUE";-;-;-;487;487
"0213010402 ISOLAMENTO DO VIRUS DA INFLUENZA";-;-;-;988;988
"0213010445 ISOLAMENTO DO VIRUS DO SARAMPO";-;-;-;4;4
"0213010453 MICRO-AGLUTINACAO PARA IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)";-;-;-;206;206
"0213010470 PROVA BIOLOGICA PARA IDENTIFICACAO DO VIRUS DA RAIVA";-;-;-;644;644
"0213010488 PROVA CONTRA-IMUNOELETROFORESE PARA MENINGOCOCOS (MENINGITE BACTERIANA)";-;-;-;37;37
"0213010500 QUANTIFICACAO DA CARGA VIRAL DO HIV (RNA)";-;-;-;29;29
"0213010569 TESTE DE ELISA IGG PARA IDENTIFICACAO DE PARVOVIRUS (PARVOVIROSE)";-;-;-;1;1
"0213010577 TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE)";-;-;-;442;442
"0213010585 TESTE DE ELISA IGG PARA IDENTIFICACAO DO VIRUS DO SARAMPO";-;-;-;1;1
"0213010631 TESTE DE HEMAGLUTINACAO INDIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA";1;12;16;550;579
"0213010690 TESTE DE SENSIBITESTE DE SENSIBILIDADE EM MEIO LIQUIDO AUTOMATIZADO PARA OS FARMACOS CONTRA MICOBAC";-;-;-;5;5
"0213010704 TESTE DE SORONEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA RAIVA";-;-;-;3096;3096
"0213010720 PESQUISA DE SARS-COV-2 POR RT - PCR";-;1;4;823;828
"0213010780 DETECCAO RAPIDA DA CARGA VIRAL DO HIV";-;-;-;3;3
"0213010801 DETECCAO RAPIDA DA CARGA VIRAL DO HCV";-;-;-;203;203
"0213010828 CULTURA LIQUIDA AUTOMATIZADA PARA MICOBACTERIAS";-;-;-;4790;4790
"0213020017 ANALISE DE BACTERIAS PATOGENICAS EM AGUA";-;-;-;1145;1145
"0213020033 ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA";-;-;-;4868;4868
"0213020068 ANALISE FISICO-QUIMICA DE AGUA";-;-;-;9396;9396
"0214010015 GLICEMIA CAPILAR";389;1958;17146;820381;839874
"0214010023 PESQUISA DE CORPOS CETONICOS NA URINA";2;-;2;476;480
"0214010031 PESQUISA DE GLICOSE NA URINA";-;-;-;672;672
"0214010058 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV PARAPOPULACAO GERAL (EXCETO GESTANTE, PARCEIRO";44;91;695;68542;69372
