 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR";-;-;166;1230;1396
"0302040048 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE PRE/POS CIRURGIA CARDIOVASCULAR";-;-;271;1551;1822
"0302040056 ATENDIMENTO FISIOTERAPEUTICO NAS DISFUNCOES VASCULARES PERIFERICAS";-;-;165;932;1097
"0302040064 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM SINDROME CORONARIANA AGUDA";-;-;101;404;505
"0302050019 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUE";-;219;4004;145654;149877
"0302050027 ATENDIMENTO FISIOTERAPEUTICO NAS ALTERACOES MOTORAS";46;636;7728;327092;335502
"0302060014 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS SEM COMPLICAC";14;-;535;25505;26054
"0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC";1;23;559;27305;27888
"0302060030 ATENDIMENTO FISIOTERAPEUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR";-;-;211;7931;8142
"0302060049 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE C/ COMPROMETIMENTO COGNITIVO";-;-;410;7612;8022
"0302060057 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS-OPERATORIO DE NEUROCIRURGIA";-;-;12;3060;3072
"0302070010 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE MEDIO QUEIMADO";-;-;-;10;10
"0302070036 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM SEQUELAS POR QUEIMADURAS (MEDIO E GRANDE QUEIMADOS)";-;-;3;97;100
"0303010231 CONSULTA EM SAUDE DO TRABALHADOR (EXCETO MEDICO)";-;-;61;639;700
"0303010240 DOSE SUPERVISIONADA NO TRATAMENTO DE HANSENIASE";-;-;-;46;46
"0303020016 PULSOTERAPIA I (POR APLICACAO)";-;49;147;510;706
"0303020024 PULSOTERAPIA II (POR APLICACAO)";-;-;46;2471;2517
"0303030089 TRATAMENTO HORMONAL PREPARATORIO PARA CIRURGIA DE REDESIGNACAO SEXUAL NO PROCESSO TRANSEXUALIZADOR";-;6;-;-;6
"0303030097 TERAPIA HORMONAL NO PROCESSO TRANSEXUALIZADOR";2;17;-;117;136
"0303050012 ACOMPANHAMENTO E AVALIACAO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA";-;202;422;17629;18253
"0303050020 EXERCICIOS ORTOPTICOS";-;-;-;195;195
"0303050039 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (1¶Ý LINHA )";-;-;27;2720;2747
"0303050047 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (2¶Ý LINHA)";-;-;12;1560;1572
"0303050055 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (3 ¶Ý LINHA)";-;-;52;2630;2682
"0303050063 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA MONOCULAR (1¶Ý LINHA )";-;-;4;82;86
"0303050071 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR (2¶Ý LINHA)";-;-;3;56;59
"0303050080 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR (3¶Ý LINHA)";-;-;2;64;66
"0303050098 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA COM DISPENSACAO DE ACETAZOLAMIDA MONOCULAR OU BIN";-;-;3;64;67
"0303050152 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 2¶Ý LINHA - MONOCULAR";-;-;12;138;150
"0303050160 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 2¶Ý LINHA - BINOCULAR";-;-;24;1880;1904
"0303050179 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - MONOCULAR";-;-;8;78;86
"0303050187 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - BINOCULAR";-;-;51;2613;2664
"0303050195 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 2¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - MONOCULAR";-;-;2;70;72
"0303050209 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 2¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - BINOCULAR";-;-;28;1422;1450
"0303050217 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR- ASSOCIACAO DE 1¶Ý, 2¶Ý E 3¶Ý LINHAS";-;-;16;401;417
"0303050225 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA BINOCULAR - ASSOCIACAO 1¶Ý, 2¶Ý E 3¶Ý LINHAS";-;-;59;4776;4835
"0303050233 TRATAMENTO MEDICAMENTOSO DE DOENCA DA RETINA";2;232;500;5562;6296
"0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO";-;-;-;7;7
"0303070013 DILATACAO DE ESOFAGO C/ OGIVAS SOB VISAO ENDOSCOPICA (POR SESSAO)";-;1;8;135;144
"0303070030 REMOCAO MANUAL DE FECALOMA";-;-;4;341;345
"0303070048 RETIRADA DE CORPO ESTRANHO DO ESOFAGO";-;-;2;6;8
"0303070056 RETIRADA DE CORPO ESTRANHO DO ESTOMAGO / DUODENO";-;-;-;1;1
"0303080019 CAUTERIZACAO QUIMICA DE PEQUENAS LESOES";-;11;54;9921;9986
"0303080027 DESBASTAMENTO DE CALOSIDADE E/OU MAL PERFURANTE (DESBASTAMENTO)";-;-;24;194;218
"0303080035 ESFOLIACAO QUIMICA";-;7;-;1;8
"0303080108 FOTOTERAPIA (POR SESSAO)";1;208;960;2671;3840
"0303080116 FOTOTERAPIA COM FOTOSSENSIBILIZACAO (POR SESSAO)";-;5;63;1206;1274
"0303090014 ARTROCENTESE DE GRANDES ARTICULACOES";-;-;-;373;373
"0303090030 INFILTRACAO DE SUBSTANCIAS EM CAVIDADE SINOVIAL (ARTICULACAO, BAINHA TENDINOSA)";1;129;270;1897;2297
"0303090073 REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO INFERIOR";-;1;40;2726;2767
"0303090081 REVISAO COM IMOBILIZACAO NAO GESSADA EM LESAO DA COLUNA VERTEBRAL";-;-;-;1;1
"0303090090 REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO SUPERIOR";3;4;58;2831;2896
"0303090111 REVISAO COM TROCA DE APARELHO GESSADO EM LESAO DA COLUNA VERTEBRAL";-;-;-;28;28
"0303090120 TRATAMENTO CONSERVADOR DE FRATURA NA CINTURA ESCAPULAR (COM IMOBILIZACAO)";5;-;13;4639;4657
"0303090146 TRATAMENTO CONSERVADOR DE FRATURA DE COSTELAS";-;-;-;42;42
"0303090154 TRATAMENTO CONSERVADOR DE FRATURA DE PUNHO COM LUVA GESSADA";-;-;-;1054;1054
"0303090162 TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACARPICO";-;-;2;1276;1278
"0303090189 TRATAMENTO CONSERVADOR DE FRATURA DO ESTERNO";-;-;-;3;3
"0303090200 TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM IMOBILIZACAO";-;-;121;6346;6467
"0303090219 TRATAMENTO CONSERVADOR DE LESAO DA COLUNA CERVICAL COM IMOBILIZACAO";-;-;2;334;336
"0303090227 TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO SUPERIOR COM IMOBILIZACAO";8;-;140;7273;7421
"0303090235 TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE";-;-;-;105;105
"0303090251 TRATAMENTO CONSERVADOR DE LESAO DE COLUNA TORACO-LOMBO-SACRA COM IMOBILIZACAO";-;-;11;215;226
"0303090260 TRATAMENTO CONSERVADOR DE LESAO DE MECANISMO EXTENSOR DOS DEDOS";2;-;3;498;503
"0303090286 TRATAMENTO CONSERVADOR DE LESAO LIGAMENTAR EM MEMBRO COM IMOBILIZACAO";-;2;20;777;799
"0303120061 TRATAMENTO DE HIPERTIREOIDISMO (PLUMMER - ATE 30 MCI)";-;4;4;21;29
"0303120070 TRATAMENTO DE HIPERTIREOIDISMO GRAVES";-;-;-;39;39
"0303140011 LAVAGEM NASAL PELO METODO DE PROETZ (POR SESSAO)";7;35;211;1909;2162
"0303140119 TRATAMENTO DE OUTRAS DOENCAS DA PLEURA";-;-;1;3;4
"0303190019 TRATAMENTO EM REABILITACAO";-;-;68;296;364
"0304010170 NARCOSE DE CRIANCA (POR PROCEDIMENTO)";-;-;-;84;84
"0304010340 NARCOSE PARA BRAQUITERAPIA (POR PROCEDIMENTO)";-;-;-;82;82
"0304010367 RADIOTERAPIA DE CABECA E PESCOCO";2;16;13;220;251
"0304010375 RADIOTERAPIA DO APARELHO DIGESTIVO";3;20;31;271;325
"0304010383 RADIOTERAPIA DE TRAQUEIA, BRONQUIO, PULMAO, PLEURA E MEDIASTINO";-;4;7;98;109
"0304010391 RADIOTERAPIA DE OSSOS/CARTILAGENS/PARTES MOLES";1;5;12;55;73
"0304010405 RADIOTERAPIA DE PELE";-;4;6;132;142
"0304010413 RADIOTERAPIA DE MAMA";1;21;92;809;923
"0304010421 RADIOTERAPIA DE CANCER GINECOLOGICO";1;7;9;207;224
"0304010430 BRAQUITERAPIA GINECOLOGICA";-;-;4;175;179
"0304010448 RADIOTERAPIA DE PENIS";-;-;-;3;3
"0304010456 RADIOTERAPIA DE PROSTATA";4;38;25;527;594
"0304010464 BRAQUITERAPIA DE PROSTATA";-;-;-;3;3
"0304010472 RADIOTERAPIA DO APARELHO URINARIO";1;2;5;24;32
"0304010480 RADIOTERAPIA DE OLHOS E ANEXOS";-;-;-;2;2
"0304010502 RADIOTERAPIA DE SISTEMA NERVOSO CENTRAL";-;5;5;71;81
"0304010510 RADIOTERAPIA ESTEREOTAXICA";-;8;11;63;82
"0304010529 RADIOTERAPIA DE METASTASE EM SISTEMA NERVOSO CENTRAL";-;5;7;104;116
"0304010537 RADIOTERAPIA DE PLASMOCITOMA / MIELOMA / METASTASES EM OUTRAS LOCALIZACOES";1;8;43;404;456
"0304010545 RADIOTERAPIA DE CADEIA LINFATICA";-;5;5;33;43
"0304010553 RADIOTERAPIA DE LINFOMA E LEUCEMIA";-;-;5;44;49
"0304010561 RADIOTERAPIA EM CORPO INTEIRO";-;1;7;21;29
"0304010570 RADIOTERAPIA DE QUELOIDE E GINECOMASTIA";1;2;1;34;38
"0304010588 RADIOTERAPIA DE DOENCA BENIGNA";-;-;-;1;1
"0304020010 QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANCADO -1¶Ý LINHA";5;40;62;1698;1805
"0304020028 QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANCADO - 2¶Ý LINHA";-;2;12;485;499
"0304020036 HORMONIOTERAPIA DO ADENOCARCINOMA DE ENDOMETRIO AVANCADO";-;6;13;180;199
"0304020044 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO AVANCADO";-;11;12;457;480
"0304020052 QUIMIOTERAPIA DO ADENOCARCINOMA DE PANCREAS AVANCADO";-;5;21;423;449
"0304020060 HORMONIOTERAPIA DO ADENOCARCINOMA DE PROSTATA AVANCADO - 2¶Ý LINHA";3;26;28;724;781
"0304020079 HORMONIOTERAPIA DO ADENOCARCINOMA DE PROSTATA AVANCADO - 1¶Ý LINHA";69;274;278;8247;8868
"0304020087 QUIMIOTERAPIA DO ADENOCARCINOMA DE PROSTATA RESISTENTE A HORMONIOTERAPIA";4;22;72;2124;2222
"0304020095 QUIMIOTERAPIA DO CARCINOMA DE RETO AVANCADO -1¶Ý LINHA";1;13;24;780;818
"0304020109 QUIMIOTERAPIA DO CARCINOMA DE RETO AVANCADO - 2¶Ý LINHA";1;-;3;211;215
"0304020117 QUIMIOTERAPIA DO APUDOMA/TUMOR NEUROENDOCRINO AVANCADO";1;1;12;302;316
"0304020125 QUIMIOTERAPIA DO CARCINOMA DE ADRENAL AVANCADO";-;1;-;16;17
"0304020133 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANCADO -1¶Ý LINHA";2;63;137;1218;1420
"0304020141 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANCADO - 2¶Ý LINHA";2;21;56;879;958
"0304020150 QUIMIOTERAPIA DO CARCINOMA DE NASOFARINGE AVANCADO";-;-;1;22;23
"0304020168 QUIMIOTERAPIA DO CARCINOMA DE RIM AVANCADO";-;7;7;162;176
"0304020176 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DE ESOFAGO AVANCADO";-;2;11;186;199
"0304020184 QUIMIOTERAPIA DA NEOPLASIA MALIGNA AVANCADA DO COLO OU DO CORPO UTERINO AVANCADO, VULVA E VAGINA.";4;64;102;658;828
"0304020192 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE CANAL ANAL/ MARGEM ANAL AVANCADO";-;2;5;59;66
"0304020206 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE CABECA E PESCOCO AVANCADO";2;6;20;455;483
"0304020214 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS AVANCADO";3;10;24;804;841
"0304020222 QUIMIOTERAPIA DO CARCINOMA PULMONAR INDIFERENCIADO DE CELULAS PEQUENAS AVANCADO";1;2;2;98;103
"0304020230 QUIMIOTERAPIA DO MELANOMA MALIGNO AVANCADO";-;1;7;155;163
"0304020249 QUIMIOTERAPIA DE METASTASE DE ADENOCARCINOMA DE ORIGEM DESCONHECIDA";-;1;1;47;49
"0304020257 QUIMIOTERAPIA DE METASTASE DE CARCINOMA EPIDERMOIDE/CARCINOMA NEUROENDOCRINO DE ORIGEM DESCONHECIDA";-;2;2;95;99
"0304020265 QUIMIOTERAPIA DE METASTASE DE NEOPLASIA MALIGNA INDIFERENCIADA DE ORIGEM DESCONHECIDA";-;1;1;37;39
"0304020273 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DE TUBA UTERINA AVANCADA -1¶Ý LINHA.";-;17;46;281;344
"0304020281 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DE TUBA UTERINA AVANCADA - 2¶Ý LINHA)";1;7;16;118;142
"0304020290 QUIMIOTERAPIA DE SARCOMA DE PARTES MOLES AVANCADO";-;3;10;255;268
"0304020303 QUIMIOTERAPIA DE SARCOMA OSSEO AVANCADO";1;1;4;38;44
"0304020311 QUIMIOTERAPIA DO TUMOR DO ESTROMA GASTROINTESTINAL AVANCADO";-;3;4;239;246
"0304020320 QUIMIOTERAPIA DE TUMOR DO SISTEMA NERVOSO CENTRAL AVANCADO";-;5;10;229;244
"0304020338 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO - 2¶Ý LINHA";2;28;72;1433;1535
"0304020346 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO- 1¶Ý LINHA";8;159;301;2585;3053
"0304020362 QUIMIOTERAPIA DO CARCINOMA DE TIREOIDE AVANCADO";-;1;-;20;21
"0304020370 QUIMIOTERAPIA DO CARCINOMA DE PENIS AVANCADO";-;-;-;14;14
"0304020389 QUIMIOTERAPIA DE CARCINOMA DO FIGADO OU DO TRATO BILIAR AVANCADO";-;3;11;252;266
"0304020397 QUIMIOTERAPIA DE NEOPLASIA MALIGNA DO TIMO AVANCADA";-;-;1;20;21
"0304020400 QUIMIOTERAPIA DE CARCINOMA UROTELIAL AVANCADO";-;4;8;155;167
"0304020419 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO ? 1¶Ý LINHA";1;5;13;203;222
"0304020427 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO ? 1¶Ý LINHA";1;9;28;158;196
"0304020435 POLIQUIMIOTERAPIA COM DUPLO ANTI HER-2 DO CARCINOMA DE MAMA HER-2 POSITIVO 1¶Ý LINHA";1;15;28;304;348
"0304020443 BLOQUEIO COM DUPLO ANTI-HER-2 DOCARCINOMA DE MAMA HER-2 POSITIVOAVANCADO/METASTATICO - 1¶Ý LINHA";5;36;109;489;639
"0304020451 TERAPIA ANTINEOPLASICA SISTEMICA DO CANCER DE MAMA AVANCADO COM INIBIDOR CDK 4/6 ? 1¶Ý LINHA";1;3;8;382;394
"0304020460 TERAPIA ANTINEOPLASICA SISTEMICA DO CANCER DE MAMA AVANCADO COM INIBIDOR CDK 4/6 ? 2¶Ý LINHA";-;-;1;83;84
"0304020478 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO COM ANTIESTROGENICO SUPRESSOR DOS RECEPTORES DE ESTRO";-;-;2;131;133
"0304020486 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO COM ANTIESTROGENICO SUPRESSOR DOS RECEPTORES DE ESTRO";-;-;-;117;117
"0304020494 HORMONIOTERAPIA DO CARCINOMA DE MAMA AVANCADO COM ANALOGO SINTETICO DO LHRH / GNRH";1;-;-;9;10
"0304030015 QUIMIOTERAPIA DE DOENCA LINFOPROLIFERATIVA RARA -1¶Ý LINHA.";-;1;1;27;29
"0304030023 QUIMIOTERAPIA DE DOENCA LINFOPROLIFERATIVA RARA - 2¶Ý LINHA";-;-;1;3;4
"0304030031 QUIMIOTERAPIA DE DOENCA MIELOPROLIFERATIVA RARA - 1¶Ý LINHA";4;186;364;2739;3293
"0304030040 QUIMIOTERAPIA DE DOENCA MIELOPROLIFERATIVA RARA - 2¶Ý LINHA.";-;3;15;422;440
"0304030058 QUIMIOTERAPIA DE LEUCEMIA LINFOCITICA CRONICA - 1¶Ý LINHA.";-;6;13;126;145
"0304030066 QUIMIOTERAPIA DE LEUCEMIA LINFOCITICA CRONICA - 2¶Ý LINHA.";-;2;3;37;42
"0304030074 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA QUALQUER FASE - CONTROLE SANGUINEO";-;-;9;89;98
"0304030082 QUIMIOTERAPIA DA LEUCEMIA MIELOIDE CRONICA EM FASE BLASTICA - MARCADOR POSITIVO - 2¶Ý LINHA.";-;-;-;18;18
"0304030090 QUIMIOTERAPIA DA LEUCEMIA MIELOIDE CRONICA EM FASE BLASTICA - MARCADOR POSITIVO - SEM FASE CRONICA";-;-;3;39;42
"0304030104 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA EM FASE BLASTICA - MARCADOR POSITIVO-3¶Ý LINHA";-;-;-;2;2
"0304030112 QUIMIOTERAPIA DA LEUCEMIA MIELOIDE CRONICA EM FASE CRONICA - MARCADOR POSITIVO - 1¶Ý LINHA.";2;53;118;1399;1572
"0304030120 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA EM FASE CRONICA - MARCADOR POSITIVO - 3¶Ý LINHA";-;-;5;51;56
"0304030139 QUMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA EM FASE DE TRANSFORMACAO - MARCADOR POSITIVO - 3¶Ý LINH";-;-;1;1;2
"0304030147 QUIMIOTERAPIA DA LEUCEMIA MIELOIDE CRONICA EM FASE DE TRANSFORMACAO - MARCADOR POSITIVO - 2¶ÝLINH";-;1;11;152;164
"0304030155 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA EM FASE DE TRANSFORMACAO - MARCADOR POSITIVO - SEM FAS";-;-;2;32;34
"0304030163 QUIMIOTERAPIA DE LINFOMA NAO HODGKIN DE BAIXO GRAU DE MALIGNIDADE (1¶Ý LINHA)";-;3;11;161;175
"0304030171 QUIMIOTERAPIA DE LINFOMA NAO HODGKIN DE BAIXO GRAU DE MALIGNIDADE - 2¶ÝLINHA";-;2;1;40;43
"0304030180 QUIMIOTERAPIA DE NEOPLASIA DE CELULAS PLASMATICAS - 1¶Ý LINHA.";-;-;3;68;71
"0304030198 QUIMIOTERAPIA DE NEOPLASIA DE CELULAS PLASMATICAS - 2¶Ý LINHA.";-;-;2;34;36
"0304030210 QUIMIOTERAPIA DE TRICOLEUCEMIA - 1¶ÝLINHA.";-;-;1;5;6
"0304030228 QUIMIOTERAPIA DE LEUCEMIA MIELOIDE CRONICA EM FASE CRONICA - MARCADOR POSITIVO - 2¶Ý LINHA";-;45;81;783;909
"0304030236 QUIMIOTERAPIA DE LINFOMA FOLICULAR- 1¶Ý LINHA";-;1;5;61;67
"0304030244 QUIMIOTERAPIA DE LINFOMA FOLICULAR - 2¶Ý LINHA";-;2;1;8;11
"0304030252 QUIMIOTERAPIA DE MIELOMA MULTIPLO ? 1¶Ý LINHA";5;23;63;845;936
"0304030260 QUIMIOTERAPIA DE MIELOMA MULTIPLO ? 2¶Ý LINHA";-;3;7;197;207
"0304040010 QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (PREVIA)";-;4;16;474;494
"0304040029 QUIMIOTERAPIA DO CARCINOMA DE MAMA (PREVIA)";3;72;175;1640;1890
"0304040045 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DO COLO UTERINO";-;14;62;326;402
"0304040053 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE RETO/ CANAL ANAL/ MARGEM ANAL";-;1;5;69;75
"0304040061 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE SEIO PARA-NASAL/ LARINGE / HIPOFARINGE/ OROFARINGE /CAVIDA";-;4;10;319;333
"0304040070 QUIMIOTERAPIA DO CARCINOMA DE BEXIGA";2;3;10;180;195
"0304040088 QUIMIOTERAPIA DO CARCINOMA DE NASOFARINGE";-;-;2;29;31
"0304040096 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS (PREVIA)";-;2;5;71;78
"0304040100 QUIMIOTERAPIA DO CARCINOMA PULMONAR INDIFERENCIADO DE CELULAS PEQUENAS (PREVIA)";-;-;-;16;16
"0304040118 QUIMIOTERAPIA DE CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DE ESOFAGO";-;-;7;144;151
"0304040126 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE VULVA";-;-;1;18;19
"0304040134 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA - 2¶Ý LINHA";-;1;-;17;18
"0304040142 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA - 1¶Ý LINHA";-;3;5;107;115
"0304040150 QUIMIOTERAPIA DE OSTEOSSARCOMA - 2¶Ý LINHA.";-;-;-;1;1
"0304040169 QUIMIOTERAPIA DE SARCOMA OSSEO / OSTEOSSARCOMA - 1¶Ý LINHA";-;-;-;20;20
"0304040177 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO (PRE-OPERATORIA)";-;1;8;170;179
"0304040185 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO (PREVIA)";3;30;74;462;569
"0304040193 HORMONIOTERAPIA DO CARCINOMA DE MAMA (PREVIA)";-;4;20;356;380
"0304040207 HORMONIOTERAPIA PREVIA A RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PROSTATA";2;15;28;1303;1348
"0304050016 QUIMIOTERAPIA INTRA-VESICAL";3;5;22;492;522
"0304050024 QUIMIOTERAPIA DE ADENOCARCINOMA DE COLON";6;28;34;1175;1243
"0304050032 QUIMIOTERAPIA DO ADENOCARCINOMA DE RETO (ADJUVANTE)";1;7;9;229;246
"0304050040 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO I";14;272;549;8700;9535
"0304050067 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO III";5;27;52;477;561
"0304050075 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO II";4;50;105;871;1030
"0304050113 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO III";25;361;668;7411;8465
"0304050121 HORMONIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO II";32;496;830;11117;12475
"0304050130 QUIMIOTERAPIA DO CARCINOMA DE MAMA EM ESTADIO I";1;6;11;159;177
"0304050172 QUIMIOTERAPIA DO CARCINOMA PULMONAR DE CELULAS NAO PEQUENAS (ADJUVANTE)";-;-;2;44;46
"0304050180 QUIMIOTERAPIA DE CARCINOMA PULMONAR INDIFERENCIADO DE CELULAS PEQUENAS (ADJUVANTE)";-;-;-;7;7
"0304050202 QUIMIOTERAPIA DE NEOPLASIA MALIGNA EPITELIAL DE OVARIO OU DA TUBA UTERINA";1;9;20;130;160
"0304050210 QUIMIOTERAPIA DO OSTEOSSARCOMA";-;-;-;14;14
"0304050229 QUIMIOTERAPIA DE SARCOMA DE PARTES MOLES DE EXTREMIDADE";-;1;1;45;47
"0304050253 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO (POS OPERATORIA)";1;7;8;141;157
"0304050261 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO I (ADJUVANTE)";1;5;8;85;99
"0304050270 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO II (ADJUVANTE)";-;4;7;122;133
"0304050288 POLIQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (ADJUVANTE)";-;2;6;83;91
"0304050296 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO I (ADJUVANTE)";-;4;9;115;128
"0304050300 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO II (ADJUVANTE)";5;10;33;271;319
"0304050318 MONOQUIMIOTERAPIA DO CARCINOMA DE MAMA HER-2 POSITIVO EM ESTADIO III (ADJUVANTE)";5;34;69;343;451
"0304050326 QUIMIOTERAPIA DE MELANOMA MALIGNO";-;-;-;4;4
"0304050334 QUIMIOTERAPIA DE TUMOR DO ESTROMA GASTRO INTESTINAL";1;3;5;87;96
"0304050342 HORMONIOTERAPIA ADJUVANTE A RADIOTERAPIA EXTERNA DO ADENOCARCINOMA DE PROSTATA";3;10;45;2426;2484
"0304050350 TERAPIA ANTINEOPLASICA SISTEMICA DO CANCER DE MAMAHER-2 POSITIVO OPERADO EM ESTADIO III E COM DOE";-;-;4;84;88
"0304060011 QUIMIOTERAPIA DA DOENCA DE HODGKIN - 1¶Ý LINHA";-;3;14;208;225
"0304060038 QUIMIOTERAPIA DA DOENCA DE HODGKIN - 2¶Ý LINHA";-;-;-;35;35
"0304060046 QUIMIOTERAPIA DA DOENCA DE HODGKIN - 3¶Ý LINHA";-;1;1;25;27
"0304060070 QUIMIOTERAPIA DE LEUCEMIA AGUDA/ MIELODISPLASIA / LINFOMA DE BURKITT - 1¶Ý LINHA";-;1;3;137;141
